,date,opponent_Aston Villa,opponent_Bournemouth,opponent_Brentford,opponent_Brighton and Hove Albion,opponent_Burnley,opponent_Cardiff City,opponent_Chelsea,opponent_Crystal Palace,opponent_Everton,opponent_Fulham,opponent_Huddersfield Town,opponent_Leeds United,opponent_Leicester City,opponent_Liverpool,opponent_Luton Town,opponent_Manchester City,opponent_Manchester United,opponent_Newcastle United,opponent_Norwich City,opponent_Nottingham Forest,opponent_Sheffield United,opponent_Southampton,opponent_Tottenham Hotspur,opponent_Watford,opponent_West Bromwich Albion,opponent_West Ham United,opponent_Wolverhampton Wanderers,team_Aston Villa,team_Bournemouth,team_Brentford,team_Brighton and Hove Albion,team_Burnley,team_Cardiff City,team_Chelsea,team_Crystal Palace,team_Everton,team_Fulham,team_Huddersfield Town,team_Leeds United,team_Leicester City,team_Liverpool,team_Luton Town,team_Manchester City,team_Manchester United,team_Newcastle United,team_Norwich City,team_Nottingham Forest,team_Sheffield United,team_Southampton,team_Tottenham Hotspur,team_Watford,team_West Bromwich Albion,team_West Ham United,team_Wolverhampton Wanderers,venue_code,target,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,day_code_1,day_code_2,day_code_3,day_code_4,day_code_5,day_code_6,gf,ga,xg,xga,poss,attendance,sh,sot,dist,fk,pk,pkatt
16,2020-12-20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.1111111111111111,0.1111111111111111,0.39999999999999997,0.07142857142857142,0.859375,,0.5833333333333333,0.26666666666666666,0.2514450867052024,0.0,0.0,0.0
17,2020-12-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,0.2222222222222222,0.2222222222222222,0.15714285714285714,0.18571428571428572,0.59375,,0.3611111111111111,0.26666666666666666,0.315028901734104,0.0,0.0,0.0
18,2020-12-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0.0,0.1111111111111111,0.11428571428571428,0.15714285714285714,0.5,,0.3611111111111111,0.13333333333333333,0.2485549132947977,0.0,0.0,0.0
19,2021-01-02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0.3333333333333333,0.3333333333333333,0.3142857142857143,0.22857142857142856,0.5625,,0.3333333333333333,0.2,0.32947976878612717,0.0,0.3333333333333333,0.3333333333333333
21,2021-01-13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0,0.1111111111111111,0.02857142857142857,0.2857142857142857,0.265625,,0.1388888888888889,0.06666666666666667,0.45375722543352603,0.0,0.0,0.0
22,2021-01-16,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.1111111111111111,0.0,0.19999999999999998,0.04285714285714285,0.25,,0.19444444444444442,0.13333333333333333,0.2832369942196532,0.0,0.0,0.0
24,2021-01-27,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.0,0.0,0.2571428571428571,0.07142857142857142,0.5,,0.4444444444444444,0.3333333333333333,0.30924855491329484,0.25,0.0,0.0
25,2021-01-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.1111111111111111,0.0,0.22857142857142856,0.05714285714285714,0.390625,,0.4444444444444444,0.2,0.2947976878612717,0.0,0.0,0.0
26,2021-02-03,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.1111111111111111,0.0,0.18571428571428572,0.14285714285714285,0.296875,,0.3611111111111111,0.26666666666666666,0.24277456647398846,0.0,0.0,0.0
27,2021-02-06,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.1111111111111111,0.1111111111111111,0.07142857142857142,0.2571428571428571,0.421875,,0.2777777777777778,0.13333333333333333,0.39884393063583823,0.25,0.0,0.0
